positions,overall_rating,value_euro,short_passing,positioning,composure,velocidade,finalizacao,drible,fisico
"LW,ST",61,475000.0,61,57,56,66.5,54.5,59.6,54.0
"RM,ST",61,550000.0,52,58,50,84.0,56.0,70.0,51.5
ST,61,550000.0,53,55,47,66.0,58.333333333333336,60.4,65.5
ST,61,550000.0,54,50,46,63.0,62.5,59.4,61.0
ST,61,525000.0,58,59,65,78.5,58.166666666666664,64.4,40.0
ST,61,400000.0,48,47,56,73.5,58.666666666666664,65.8,76.0
"LB,LWB",61,300000.0,58,46,46,70.5,32.666666666666664,57.8,63.0
"ST,RM",61,375000.0,57,59,48,84.0,53.333333333333336,67.0,53.5
ST,61,350000.0,63,62,53,68.5,56.666666666666664,63.4,62.0
ST,61,350000.0,57,60,52,72.0,59.833333333333336,58.4,50.5
"LB,LWB",61,270000.0,52,35,57,75.5,36.5,62.8,73.0
"RB,RWB",61,375000.0,63,53,46,77.5,43.0,62.8,68.0
LW,61,475000.0,60,58,55,70.5,51.166666666666664,65.4,45.0
"LW,RW",61,525000.0,51,50,45,84.5,53.333333333333336,65.2,51.5
ST,61,450000.0,44,57,57,66.5,59.666666666666664,61.6,65.0
ST,61,260000.0,41,59,44,62.5,57.666666666666664,60.6,72.5
ST,61,525000.0,56,46,56,68.5,62.0,61.6,58.0
RW,61,260000.0,62,60,58,71.5,51.5,64.8,57.5
"LM,CAM,LB,LW",61,375000.0,44,54,63,81.5,42.166666666666664,68.4,73.0
"LW,CF",61,425000.0,55,57,54,86.5,46.166666666666664,66.2,54.0
ST,61,325000.0,44,61,55,71.5,54.333333333333336,62.2,70.0
ST,60,300000.0,55,55,49,65.0,57.333333333333336,59.2,64.5
"ST,CF",60,200000.0,45,63,51,65.0,59.333333333333336,56.0,65.5
"ST,CAM",60,450000.0,57,60,59,75.0,55.5,66.6,52.5
ST,60,350000.0,46,58,54,75.5,55.166666666666664,57.2,71.0
ST,60,260000.0,58,52,43,79.5,56.833333333333336,62.6,69.5
"LM,ST",60,300000.0,57,63,52,67.0,60.5,60.2,66.5
"RB,LB,RWB,LWB",60,230000.0,60,52,60,71.5,42.0,62.6,61.5
"RB,RWB",60,240000.0,58,49,44,67.0,31.5,65.0,58.5
"LW,RW,LB,CM",60,450000.0,60,53,49,70.5,47.333333333333336,66.2,53.0
ST,60,290000.0,41,61,40,78.5,55.833333333333336,50.0,60.5
ST,60,270000.0,63,62,61,48.5,56.5,60.2,71.5
ST,60,210000.0,47,58,55,76.0,56.5,62.6,65.5
"CAM,CF",60,400000.0,56,53,53,72.5,47.333333333333336,61.0,67.0
"RW,RM,CAM",60,210000.0,66,59,51,68.0,49.166666666666664,61.0,55.0
ST,60,300000.0,57,58,49,73.5,54.833333333333336,57.0,64.5
LWB,60,400000.0,58,43,46,67.0,39.833333333333336,59.2,52.5
ST,60,450000.0,53,57,56,53.5,62.666666666666664,55.6,53.0
CF,60,350000.0,60,52,53,67.0,53.166666666666664,65.0,42.5
RW,60,450000.0,53,51,59,78.0,55.0,62.6,49.5
ST,60,260000.0,47,62,50,82.0,56.5,56.6,66.5
CF,60,375000.0,60,53,56,68.0,54.166666666666664,68.6,56.0
ST,60,350000.0,49,63,59,67.5,56.833333333333336,61.4,54.0
"CAM,CM,LW",60,450000.0,62,50,53,71.5,48.5,69.6,47.5
"CB,RB,RWB",60,220000.0,60,49,41,78.0,46.166666666666664,63.6,66.5
ST,60,300000.0,56,57,47,77.5,54.5,58.6,61.5
ST,60,350000.0,49,56,47,67.5,55.5,60.2,60.0
RWB,60,260000.0,56,42,51,83.0,32.5,59.4,76.0
"ST,LM,RM",60,425000.0,54,53,51,87.5,55.166666666666664,61.8,65.5
"RB,RWB,RM",60,250000.0,52,46,44,80.0,30.0,59.6,63.5
ST,60,300000.0,51,52,54,76.0,59.5,56.8,63.5
RW,60,400000.0,57,58,61,73.0,50.666666666666664,66.6,45.5
ST,60,450000.0,57,63,52,68.0,57.333333333333336,56.0,57.5
ST,60,230000.0,42,55,42,58.0,61.5,49.6,64.5
ST,60,325000.0,61,62,55,72.0,49.333333333333336,64.4,54.5
"ST,CAM",60,220000.0,65,61,60,60.0,56.166666666666664,65.6,65.5
"LM,LW,CM",60,325000.0,55,49,47,72.0,42.166666666666664,68.4,57.0
"ST,RW",59,325000.0,48,55,58,77.0,55.5,62.0,60.0
ST,59,250000.0,52,54,50,79.0,51.666666666666664,60.6,68.5
"RM,CF",59,90000.0,63,57,52,58.5,51.0,65.2,68.0
"LW,ST",59,240000.0,46,64,41,83.5,52.666666666666664,61.4,52.0
ST,59,230000.0,50,53,49,61.0,56.333333333333336,49.8,71.0
ST,59,280000.0,42,57,45,84.0,53.166666666666664,62.0,60.0
ST,59,230000.0,58,50,50,72.0,56.166666666666664,61.4,57.5
"LB,LWB,LM",59,210000.0,43,59,48,70.5,35.5,61.6,67.5
"ST,LM,RM",59,210000.0,51,57,46,61.0,56.5,61.2,52.0
ST,59,260000.0,61,58,48,62.5,52.0,59.0,66.5
ST,59,210000.0,55,57,53,63.5,58.166666666666664,60.2,67.5
ST,59,180000.0,44,62,41,67.0,55.166666666666664,61.0,70.0
"ST,LM",59,160000.0,55,56,54,79.0,54.833333333333336,60.6,66.0
"ST,RM",59,260000.0,56,52,52,88.5,53.166666666666664,59.8,66.5
"LB,LM,LW",59,130000.0,68,57,55,64.5,45.5,57.2,61.0
"LWB,LW",59,100000.0,58,55,62,65.0,54.5,61.4,61.5
ST,59,230000.0,47,62,54,49.0,57.5,49.2,79.0
"ST,LW",59,260000.0,51,50,47,74.0,55.5,63.4,60.0
ST,59,325000.0,52,52,57,75.5,54.833333333333336,64.0,43.0
ST,59,240000.0,51,56,53,76.0,55.666666666666664,57.8,62.5
ST,59,230000.0,63,56,57,71.5,50.833333333333336,58.6,67.5
RW,59,260000.0,57,52,51,77.5,46.5,63.6,52.0
"ST,RW",59,300000.0,57,59,58,92.0,50.0,65.8,66.5
ST,59,190000.0,49,61,54,61.0,56.333333333333336,55.0,74.0
RW,59,180000.0,61,56,59,68.5,49.0,62.8,59.5
ST,59,230000.0,38,58,44,67.5,54.0,52.8,70.0
ST,58,260000.0,52,60,48,61.5,53.5,52.4,59.0
"CF,CAM,ST",58,280000.0,55,44,49,68.5,58.5,58.2,73.5
"RWB,RB,CDM",58,230000.0,44,49,41,66.5,35.0,63.0,47.5
ST,58,190000.0,41,55,48,64.0,56.333333333333336,55.6,51.0
ST,58,180000.0,48,58,52,56.0,58.0,60.0,59.0
"RM,LM,LWB",58,180000.0,54,53,56,74.5,50.666666666666664,61.8,60.5
"RW,CM",58,270000.0,48,53,51,55.0,57.166666666666664,60.4,47.5
ST,58,280000.0,58,58,50,70.0,50.166666666666664,57.4,64.0
ST,58,240000.0,49,49,45,77.5,54.666666666666664,56.2,56.5
ST,58,180000.0,56,53,50,64.5,57.333333333333336,56.0,53.5
ST,58,260000.0,43,58,49,60.0,54.833333333333336,52.2,59.5
"RWB,RB,CDM",58,170000.0,60,42,51,67.0,44.166666666666664,62.6,67.5
"LM,ST",58,130000.0,53,57,55,72.0,53.0,61.4,57.5
"LW,LM,RM",58,270000.0,56,53,50,70.5,44.833333333333336,64.6,47.5
ST,58,190000.0,53,53,62,56.0,52.166666666666664,55.0,72.0
ST,58,180000.0,41,58,54,66.0,54.0,57.2,56.0
ST,58,240000.0,46,58,41,66.0,52.166666666666664,62.6,53.5
"ST,RW",58,160000.0,53,54,51,71.5,55.0,60.0,60.5
ST,58,210000.0,58,59,60,61.5,54.0,58.6,55.5
"ST,RM",58,160000.0,39,53,57,57.0,54.166666666666664,54.8,65.0
"LM,ST",58,30000.0,54,62,71,43.5,63.333333333333336,62.8,68.5
RW,58,260000.0,57,53,51,55.0,56.666666666666664,59.2,42.0
"RW,CAM",58,280000.0,60,50,50,68.0,56.333333333333336,58.0,61.5
"LB,LWB",58,170000.0,53,37,41,67.5,32.333333333333336,61.0,53.0
ST,58,180000.0,52,55,45,74.5,55.333333333333336,62.2,65.5
"LM,LW,ST",58,260000.0,58,55,52,70.0,52.5,56.8,55.5
ST,58,190000.0,41,59,44,76.0,54.666666666666664,60.2,65.5
"RM,LM,RW,LW",58,250000.0,55,44,48,66.0,47.333333333333336,62.6,50.0
RW,58,170000.0,58,56,51,80.0,50.666666666666664,60.8,57.5
"ST,RW",58,170000.0,43,60,43,67.5,54.5,55.2,58.5
"ST,CAM",58,210000.0,49,59,44,68.5,55.833333333333336,57.6,53.0
ST,58,260000.0,49,55,54,74.0,56.166666666666664,62.2,58.0
"ST,CAM",58,180000.0,57,54,52,69.5,54.0,64.6,62.5
ST,58,250000.0,42,54,59,70.0,54.333333333333336,57.0,58.0
RW,58,210000.0,54,60,44,65.0,55.166666666666664,58.0,54.0
ST,58,220000.0,49,54,51,63.0,54.0,58.8,64.0
ST,58,280000.0,49,57,47,69.5,55.5,61.0,50.5
"ST,CAM,LM",58,200000.0,53,58,51,73.5,51.166666666666664,61.4,61.5
ST,58,210000.0,55,59,54,50.0,57.0,47.8,66.5
RW,57,220000.0,47,54,47,80.5,49.666666666666664,65.4,46.5
ST,57,240000.0,41,55,46,70.5,53.666666666666664,54.6,67.5
"LW,RW",57,210000.0,50,42,56,67.0,55.0,63.0,49.5
ST,57,220000.0,46,55,50,65.0,54.833333333333336,59.2,62.5
"RM,RWB",57,160000.0,56,53,47,76.0,48.666666666666664,61.2,58.5
"CAM,ST",57,160000.0,51,54,48,75.5,50.833333333333336,66.2,56.0
ST,57,170000.0,48,59,49,58.5,54.833333333333336,54.2,58.0
"LW,ST",57,160000.0,56,51,56,72.5,45.5,61.6,62.5
ST,57,150000.0,43,61,55,61.5,53.166666666666664,51.4,67.0
"LM,LW",57,200000.0,47,60,52,81.0,44.166666666666664,62.8,45.5
ST,57,160000.0,47,52,48,73.5,53.0,60.6,63.5
"ST,LW,RW",57,230000.0,46,52,55,69.5,55.833333333333336,55.6,61.5
LW,57,140000.0,56,58,45,66.0,51.5,54.4,63.5
"ST,CAM",57,200000.0,50,57,58,70.5,53.333333333333336,62.6,51.0
"RW,LW",57,160000.0,55,54,53,66.0,46.5,58.2,65.5
"LWB,LB",57,200000.0,48,50,41,78.0,39.833333333333336,59.0,60.5
"RW,CM",57,220000.0,56,59,48,66.0,50.666666666666664,65.4,52.5
"ST,RW",57,220000.0,49,51,47,73.0,52.0,60.6,58.5
ST,57,150000.0,46,58,51,54.5,52.833333333333336,57.6,57.5
ST,57,220000.0,48,56,47,61.5,54.666666666666664,62.0,57.5
ST,57,190000.0,49,55,48,64.0,55.833333333333336,51.4,59.5
ST,57,180000.0,44,57,51,69.0,52.166666666666664,62.6,63.0
ST,56,140000.0,40,52,54,64.0,54.0,50.0,60.0
"RM,ST,LM",56,190000.0,48,56,46,71.0,56.166666666666664,61.8,61.0
"CAM,ST",56,190000.0,54,51,55,73.0,45.166666666666664,61.4,50.0
ST,56,100000.0,40,50,55,57.0,55.166666666666664,52.0,69.0
ST,56,150000.0,42,55,46,72.0,50.5,60.6,55.5
"CM,CF",56,180000.0,58,47,50,69.5,47.0,56.8,59.0
ST,56,180000.0,51,55,57,51.0,57.833333333333336,58.4,52.0
"CF,CAM",56,180000.0,58,52,50,62.5,51.166666666666664,56.6,57.0
"RB,RWB,RM",56,130000.0,55,57,55,70.0,38.833333333333336,63.2,64.5
ST,56,150000.0,48,47,47,78.0,49.833333333333336,59.2,64.0
"ST,CF,LW",56,200000.0,48,54,48,41.0,58.166666666666664,51.0,60.0
"ST,RM",56,190000.0,39,50,48,83.5,51.166666666666664,69.6,48.0
ST,56,160000.0,46,58,50,74.0,51.833333333333336,61.2,53.5
"LW,LM,ST",56,,56,58,41,77.0,47.833333333333336,62.8,57.0
ST,56,150000.0,49,56,53,57.0,54.0,50.2,62.0
ST,56,180000.0,42,47,49,85.0,50.833333333333336,54.4,69.5
"LW,LB",56,140000.0,52,46,53,71.0,43.166666666666664,59.4,56.5
"LB,LWB",56,90000.0,37,53,38,65.0,34.5,53.0,60.0
ST,55,150000.0,51,56,49,71.5,50.5,60.6,44.5
"ST,LM",55,110000.0,48,58,52,58.5,53.333333333333336,53.6,44.5
ST,55,150000.0,53,55,39,68.5,51.666666666666664,54.8,55.0
ST,55,120000.0,35,57,44,73.5,55.166666666666664,57.8,71.5
ST,55,130000.0,47,53,58,70.5,51.333333333333336,58.6,55.5
"ST,LM,CAM",55,130000.0,46,60,50,79.5,50.833333333333336,60.8,42.5
"ST,RW",55,160000.0,46,55,47,64.5,54.0,50.0,58.0
ST,55,180000.0,38,57,44,68.5,49.0,49.0,67.0
"LW,CF",55,120000.0,47,43,39,76.0,42.166666666666664,70.0,42.5
ST,55,90000.0,45,50,50,62.5,54.166666666666664,49.0,71.0
"CF,ST",55,120000.0,44,51,56,70.5,45.0,73.0,40.5
ST,55,180000.0,55,56,45,54.5,49.166666666666664,61.4,36.0
ST,55,180000.0,44,50,48,61.5,52.5,54.4,64.5
ST,55,200000.0,48,51,42,66.0,52.666666666666664,49.6,68.5
RW,55,150000.0,53,46,53,80.5,51.5,61.2,45.0
ST,55,160000.0,41,52,44,63.5,54.833333333333336,50.6,57.5
ST,55,180000.0,41,55,42,69.0,49.833333333333336,59.2,50.5
ST,55,160000.0,44,46,57,68.5,51.166666666666664,57.4,76.5
"RWB,RB",55,30000.0,56,41,53,55.5,28.166666666666668,57.2,75.5
"CAM,RW",55,140000.0,58,43,59,72.0,45.0,58.6,55.0
ST,55,170000.0,47,56,51,52.5,56.5,56.6,46.0
"RW,LW",55,180000.0,46,42,45,75.5,36.666666666666664,67.0,36.0
"LB,LM,LWB",55,170000.0,48,42,49,80.0,38.333333333333336,59.4,59.0
RW,55,200000.0,45,60,57,65.0,46.666666666666664,59.6,51.0
RW,55,180000.0,50,45,38,73.0,50.5,59.6,41.0
ST,54,150000.0,39,60,54,53.5,54.0,53.2,55.5
ST,54,150000.0,41,48,45,65.0,52.333333333333336,46.2,63.5
"ST,CAM,RW",54,140000.0,51,52,57,69.5,46.0,60.0,53.0
"ST,CAM",54,150000.0,63,53,54,62.0,49.666666666666664,55.6,51.0
"LM,ST",54,130000.0,48,51,41,83.5,44.0,59.0,46.5
ST,54,100000.0,38,50,45,62.0,53.666666666666664,48.2,62.5
ST,54,90000.0,44,51,42,58.0,55.5,55.0,45.5
ST,54,160000.0,42,53,48,70.0,48.666666666666664,56.4,57.5
"ST,LM",54,120000.0,47,43,51,69.0,50.0,65.8,46.0
RW,54,100000.0,43,51,52,69.0,45.5,57.2,49.0
ST,54,130000.0,38,56,48,71.0,53.833333333333336,53.4,56.0
"ST,LM",54,140000.0,41,55,48,69.5,49.333333333333336,55.2,49.0
"ST,CAM",54,150000.0,42,55,50,62.5,54.833333333333336,56.8,46.5
"ST,RW",54,,38,48,46,55.5,52.833333333333336,53.6,54.0
"LB,LWB",54,130000.0,47,47,48,59.0,49.833333333333336,63.6,48.5
ST,54,140000.0,61,50,51,71.5,49.5,53.8,57.0
ST,54,90000.0,47,51,58,70.0,51.5,60.8,60.5
LW,54,140000.0,45,48,45,75.0,36.5,60.4,43.0
"RB,RWB",53,110000.0,32,21,46,71.0,32.166666666666664,48.4,59.0
ST,53,130000.0,40,42,47,75.5,49.666666666666664,61.4,49.0
ST,53,100000.0,50,59,46,63.5,46.833333333333336,51.8,58.0
ST,53,100000.0,50,44,44,74.5,46.333333333333336,57.2,63.5
"CM,CF,RB",53,90000.0,51,55,40,71.0,33.5,65.6,50.5
ST,53,120000.0,47,55,50,46.0,51.0,46.8,64.5
ST,53,120000.0,52,42,45,64.0,54.5,54.4,58.5
ST,53,120000.0,40,54,48,56.5,49.0,52.8,61.0
ST,53,60000.0,45,50,49,63.0,51.333333333333336,50.8,55.0
"ST,RM",53,120000.0,42,51,43,70.0,48.666666666666664,52.8,63.0
"LW,LM",52,100000.0,42,56,40,72.0,40.666666666666664,59.0,37.5
ST,52,70000.0,41,47,41,74.0,50.833333333333336,58.6,53.5
RW,52,90000.0,58,49,44,61.5,37.666666666666664,55.6,50.0
ST,52,80000.0,42,54,43,61.5,50.833333333333336,47.2,62.0
ST,52,100000.0,38,53,46,56.0,49.0,53.0,57.0
ST,52,100000.0,38,51,43,71.5,48.833333333333336,57.8,53.5
"RWB,LB",52,70000.0,39,40,50,65.5,32.5,56.8,57.5
LW,52,110000.0,41,50,50,68.5,46.833333333333336,58.2,55.0
"LM,ST",52,110000.0,42,48,48,65.5,45.333333333333336,58.6,46.5
"LM,ST",52,100000.0,40,37,44,64.0,45.666666666666664,55.2,48.0
ST,52,100000.0,40,55,50,55.0,47.5,47.2,55.0
ST,52,100000.0,34,51,45,78.5,47.833333333333336,52.8,52.5
ST,52,80000.0,43,45,40,66.5,48.833333333333336,58.0,47.0
ST,52,110000.0,38,54,53,52.5,47.5,52.8,61.0
"CAM,ST,CM",52,100000.0,60,41,54,69.0,41.166666666666664,54.0,41.5
CF,51,80000.0,40,49,46,75.5,49.833333333333336,59.6,39.5
"RM,ST",50,60000.0,46,48,46,72.0,44.666666666666664,52.2,42.5
ST,51,70000.0,42,48,45,53.5,47.5,45.4,70.5
ST,51,80000.0,38,47,42,77.0,45.0,53.6,53.5
"RW,LW,ST",51,80000.0,42,47,43,67.0,48.666666666666664,58.8,45.5
ST,51,70000.0,42,50,42,58.0,47.333333333333336,52.6,46.5
RW,51,50000.0,40,46,44,70.5,48.333333333333336,59.6,38.5
ST,50,60000.0,39,44,43,67.5,48.0,51.0,54.5
LWB,50,60000.0,41,43,52,59.5,27.333333333333332,58.8,60.5
"RWB,RB",50,50000.0,39,43,35,70.5,28.333333333333332,52.0,50.0
"ST,RW",50,60000.0,41,45,48,71.5,43.5,55.6,54.5
ST,49,60000.0,48,48,44,63.0,44.833333333333336,53.2,41.5
ST,47,60000.0,45,43,37,64.0,40.333333333333336,55.4,57.5
RW,48,60000.0,42,44,46,60.5,46.166666666666664,52.4,44.0
ST,47,60000.0,43,46,42,40.0,44.333333333333336,41.8,55.0
"ST,CAM",47,60000.0,38,47,42,56.0,42.666666666666664,48.6,48.5
ST,48,60000.0,36,40,42,72.5,44.833333333333336,58.6,50.5
"RWB,RB",48,40000.0,38,48,33,60.0,29.333333333333332,54.8,56.0
ST,48,60000.0,35,48,43,51.0,41.333333333333336,47.8,63.5
ST,48,70000.0,36,48,42,50.5,50.166666666666664,49.8,47.0
"ST,RW",48,50000.0,42,49,50,68.0,42.0,53.0,40.0
"CM,RWB,CDM",49,50000.0,54,25,44,59.0,34.833333333333336,55.6,50.5
ST,49,40000.0,35,48,48,55.5,43.333333333333336,49.8,52.0
ST,49,70000.0,40,50,49,63.0,47.666666666666664,54.6,43.0
"ST,CAM",49,60000.0,50,49,42,55.0,42.0,51.6,54.0
LW,50,50000.0,48,46,45,66.0,39.833333333333336,55.0,47.0
"ST,RW",50,60000.0,41,47,40,57.5,50.166666666666664,51.0,57.0
"CAM,ST",50,60000.0,44,35,49,61.5,49.0,53.2,47.0
"LB,LWB",50,50000.0,26,41,38,62.5,28.0,52.6,49.0
ST,50,70000.0,41,41,46,68.5,51.333333333333336,52.8,47.5
ST,50,40000.0,40,37,42,65.0,50.166666666666664,55.0,54.0
"CF,CAM",50,60000.0,52,47,43,61.5,48.833333333333336,50.0,55.0
ST,50,70000.0,46,37,46,60.5,51.0,64.8,46.0
ST,50,60000.0,48,44,48,62.0,49.833333333333336,57.2,51.5
ST,50,70000.0,49,39,47,64.0,46.333333333333336,59.2,53.5
ST,50,60000.0,38,45,48,55.0,49.5,47.0,61.0
ST,51,80000.0,44,48,42,53.5,49.0,58.0,55.0
"ST,CAM",51,80000.0,41,52,49,48.0,50.0,47.2,55.0
"RB,RWB",51,50000.0,35,57,37,77.5,29.333333333333332,49.6,65.0
ST,51,80000.0,39,52,49,61.5,48.833333333333336,61.6,40.0
ST,51,80000.0,41,45,44,68.5,47.666666666666664,52.6,54.0
"ST,RM",51,70000.0,45,46,48,71.0,47.666666666666664,59.6,55.0
"RW,ST",51,50000.0,39,50,47,70.0,49.5,52.0,63.5
ST,51,70000.0,38,52,47,55.0,49.0,50.2,57.5
LW,51,80000.0,45,43,48,71.5,49.666666666666664,53.6,45.5
ST,51,60000.0,44,50,47,54.5,49.5,52.6,50.5
"LM,LW",51,80000.0,49,38,36,63.5,37.166666666666664,52.6,70.5
ST,51,80000.0,43,49,48,68.0,46.833333333333336,54.4,57.0
ST,51,60000.0,40,49,41,70.5,49.5,50.8,54.0
"ST,RM",51,60000.0,49,41,34,67.5,39.166666666666664,60.8,55.5
LW,51,70000.0,41,55,48,62.5,46.5,60.2,51.0
"ST,LM,LW",52,110000.0,45,50,46,66.5,50.166666666666664,51.4,53.5
ST,52,70000.0,43,53,45,56.5,51.333333333333336,50.4,57.0
"RB,RW,RM",52,100000.0,27,41,33,65.0,31.5,53.2,56.0
ST,52,90000.0,40,53,46,65.0,48.333333333333336,57.8,47.5
ST,52,70000.0,38,50,44,46.0,51.666666666666664,54.8,54.5
ST,52,100000.0,40,50,46,66.0,48.666666666666664,55.6,53.5
ST,52,110000.0,35,52,42,66.0,47.333333333333336,52.6,58.0
ST,52,100000.0,46,49,48,73.5,46.5,58.8,47.0
ST,52,70000.0,48,56,38,68.0,46.166666666666664,60.6,49.0
ST,52,100000.0,52,48,40,71.5,48.5,57.4,48.5
ST,52,70000.0,35,54,42,50.5,51.166666666666664,49.8,61.5
ST,52,80000.0,46,55,55,70.5,46.5,61.2,44.5
ST,52,110000.0,45,47,47,61.5,51.166666666666664,50.2,63.0
"LM,ST",52,100000.0,43,53,44,61.0,49.333333333333336,61.8,58.5
CF,52,80000.0,50,45,44,63.0,47.166666666666664,56.2,50.5
ST,52,100000.0,45,53,46,53.0,48.5,51.6,62.0
"RW,ST",52,90000.0,45,46,57,68.5,55.666666666666664,56.2,60.0
ST,52,110000.0,40,53,42,60.5,47.666666666666664,51.6,62.5
ST,52,100000.0,49,49,47,77.5,48.666666666666664,53.2,58.0
ST,52,110000.0,38,48,45,72.0,53.5,55.2,56.0
ST,52,70000.0,39,48,41,67.0,51.333333333333336,60.8,51.0
ST,52,100000.0,47,43,42,63.0,51.833333333333336,53.2,57.0
"ST,LW",52,100000.0,54,45,46,73.0,47.833333333333336,60.4,50.0
"CAM,RW,CM",52,40000.0,48,52,57,59.5,46.333333333333336,55.0,55.0
CF,52,100000.0,45,53,46,59.5,46.166666666666664,60.0,46.5
RWB,52,80000.0,52,46,42,62.0,38.0,54.4,49.0
ST,52,100000.0,34,53,35,81.0,45.833333333333336,53.4,48.0
"LW,RW",53,120000.0,47,51,47,67.0,45.666666666666664,57.4,41.5
ST,53,90000.0,50,50,44,53.0,52.333333333333336,57.0,52.5
RWB,53,110000.0,42,41,52,74.0,38.5,55.4,56.5
"RM,ST",53,100000.0,46,43,43,71.5,49.5,65.0,59.0
ST,53,130000.0,40,51,41,61.5,50.166666666666664,52.4,64.5
ST,53,90000.0,41,41,46,69.0,50.666666666666664,56.6,52.0
ST,53,110000.0,40,47,41,69.0,49.0,56.0,42.0
"LB,LW",53,110000.0,40,51,37,62.0,31.833333333333332,53.0,55.5
"RWB,RM",53,120000.0,48,41,42,71.0,30.5,55.0,62.0
ST,53,120000.0,54,49,49,55.0,51.666666666666664,55.2,50.0
ST,53,100000.0,45,48,40,85.5,49.0,56.0,49.0
ST,53,80000.0,43,56,40,61.0,45.166666666666664,61.2,52.0
ST,53,110000.0,54,53,49,64.0,47.833333333333336,50.6,60.5
ST,53,90000.0,49,53,52,75.5,44.666666666666664,57.0,55.0
"RWB,RB",53,110000.0,38,40,34,74.5,30.0,53.4,54.0
ST,53,120000.0,44,55,51,51.5,52.166666666666664,41.4,66.5
RW,53,120000.0,52,47,42,68.0,47.5,54.6,44.5
RW,53,80000.0,50,55,39,65.0,53.166666666666664,52.2,43.0
ST,53,120000.0,39,53,42,67.5,46.333333333333336,60.4,51.5
ST,53,120000.0,38,48,43,53.5,53.166666666666664,48.8,58.5
ST,53,100000.0,41,52,43,63.5,50.833333333333336,56.2,52.5
ST,53,100000.0,44,54,50,63.0,48.833333333333336,50.0,58.0
"LB,LWB,CAM,LM",53,70000.0,59,40,51,69.0,48.333333333333336,60.4,56.0
ST,53,90000.0,42,48,52,56.5,52.166666666666664,58.2,52.5
"ST,CAM",53,130000.0,59,46,49,64.0,45.333333333333336,53.2,64.0
"ST,LM",53,120000.0,46,42,42,70.0,52.166666666666664,59.4,50.0
"CF,ST",53,120000.0,48,45,48,68.0,46.0,56.0,51.0
ST,53,120000.0,41,50,53,60.0,52.0,55.4,55.0
LW,53,120000.0,47,53,47,60.0,44.333333333333336,58.0,50.5
LW,53,120000.0,42,52,46,61.0,46.666666666666664,56.0,53.5
ST,53,90000.0,47,42,51,71.5,54.0,51.0,51.5
"RB,RWB",53,80000.0,50,46,38,83.5,27.5,60.4,49.0
"ST,LW,CDM",53,100000.0,49,45,45,70.0,49.333333333333336,56.8,58.5
"ST,RW,LM",53,120000.0,42,53,49,77.0,47.833333333333336,61.0,56.0
ST,53,130000.0,43,53,46,52.5,52.666666666666664,50.2,55.5
ST,53,120000.0,49,52,49,71.5,51.333333333333336,63.8,37.5
ST,53,120000.0,49,54,49,61.5,49.166666666666664,54.6,52.0
ST,53,130000.0,41,53,47,61.0,54.0,53.2,56.5
ST,53,120000.0,34,50,45,65.0,49.333333333333336,48.4,62.0
ST,54,110000.0,57,53,41,64.0,51.5,56.8,54.0
ST,54,90000.0,40,48,42,61.5,49.666666666666664,57.0,69.0
ST,54,140000.0,46,52,43,68.5,54.0,55.8,51.0
LW,54,140000.0,49,51,48,69.0,45.666666666666664,61.8,47.0
ST,54,70000.0,38,51,47,57.5,55.0,48.0,60.0
"CB,LWB",54,130000.0,52,45,49,72.5,35.666666666666664,56.6,63.5
ST,54,110000.0,44,51,42,55.0,50.166666666666664,53.6,57.5
ST,54,100000.0,45,53,42,57.5,50.666666666666664,58.8,50.5
"ST,CAM",54,140000.0,38,48,40,71.5,45.833333333333336,62.4,43.5
"ST,LM",54,150000.0,45,53,44,74.5,47.166666666666664,56.0,56.0
"LW,LM",54,120000.0,45,57,42,66.5,48.5,59.6,58.0
ST,54,140000.0,51,56,53,53.5,54.166666666666664,56.0,52.5
"ST,CAM",54,140000.0,48,50,54,68.0,48.5,58.6,48.0
"ST,RM",54,110000.0,49,54,43,57.0,50.833333333333336,50.2,61.5
"RW,RM",54,100000.0,52,48,43,71.5,37.5,58.0,35.5
"ST,CAM",54,120000.0,55,51,46,69.0,47.5,65.4,47.5
"ST,CAM",54,110000.0,46,49,47,66.5,50.333333333333336,55.6,57.5
ST,54,140000.0,47,45,47,70.0,50.166666666666664,58.0,55.0
ST,54,100000.0,49,54,54,75.5,51.0,60.2,48.5
LWB,54,130000.0,47,49,36,72.5,32.166666666666664,60.8,46.0
ST,54,100000.0,52,53,46,71.5,52.5,58.2,46.0
ST,54,100000.0,39,59,54,71.0,47.333333333333336,57.4,56.0
ST,54,90000.0,37,40,54,67.0,49.833333333333336,60.8,46.5
ST,54,100000.0,41,54,40,87.5,49.333333333333336,57.2,41.5
ST,54,110000.0,56,54,45,53.5,48.166666666666664,56.6,57.0
"ST,CM",54,120000.0,45,57,40,57.5,47.833333333333336,50.4,63.5
ST,54,150000.0,49,53,45,70.0,50.0,63.4,42.0
ST,54,150000.0,40,54,55,73.5,53.166666666666664,56.6,52.5
ST,54,110000.0,48,55,45,70.0,50.833333333333336,59.4,44.0
"RM,CF,LM",54,130000.0,54,46,40,67.0,34.666666666666664,54.6,48.5
ST,54,110000.0,42,50,48,52.0,50.5,48.2,68.5
ST,54,150000.0,44,46,49,78.0,51.166666666666664,61.2,39.5
ST,54,150000.0,41,45,52,67.0,53.333333333333336,47.8,68.0
